19 Morrison Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
57 Pearson Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
86 Elm St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
277 Highland Ave,4,Somerville,MA,2143,,,,,,,,,,,,,,,,,
23 Robinson St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
66 PRICHARD Ave,,,MA,2144,,,,,,,,,,,,,,,,,
9 ABERDEEN Rd,Unit 3,,MA,2144,,,,,,,,,,,,,,,,,
90 Vernon St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
97 Bartlett St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
292 Lowell St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
789 Somerville Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
25 Linden Ave,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
70 Albion St,3,Somerville,MA,2143,,,,,,,,,,,,,,,,,
24 Hudson St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
79 Glenwood Rd,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
22 Aberdeen Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
154 Cedar St,LL-2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
154 Cedar St,26,Somerville,MA,2144,,,,,,,,,,,,,,,,,
135 Central St,5,Somerville,MA,2145,,,,,,,,,,,,,,,,,
48 Adams St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
154 Cedar St,2-Jan,Somerville,MA,2144,,,,,,,,,,,,,,,,,
88 Boston Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
79 Hudson St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
69 Cedar St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
15 Rogers Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
55 Adams St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
26 Adams St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
51 Main St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
84 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
21 Elm St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
10 Roberts St,22,Somerville,MA,2145,,,,,,,,,,,,,,,,,
11 Lexington Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
13 Hall St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
9 Cedar St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
15 Albion St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
51 Linden Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
34 Alpine St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
140 Hudson St,201,Somerville,MA,2144,,,,,,,,,,,,,,,,,
87 Highland Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
67 Alpine St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
43 PEARSON Ave,Unit 2,,MA,2144,,,,,,,,,,,,,,,,,
23 Cedar St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
14 Albion St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
75 Hinckley St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
80 Elm St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
31 Aberdeen Rd,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
11 Wilton St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
212 Cedar St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
23 Woodbine St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
270 Highland Ave,48,Somerville,MA,2143,,,,,,,,,,,,,,,,,
4 Rogers Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
454 Medford St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
108 Rogers Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
37 Alpine St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
